"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=00fvvvvvvvvv&endsec=2&linechart=ELEC.PRICE.CT-IND.A&columnchart=ELEC.PRICE.CT-IND.A&map=ELEC.PRICE.CT-IND.A&freq=A&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Mar 21 2023 12:16:37 GMT-0600 (Mountain Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Average retail price of electricity","cents per kilowatthour",,,,,,,,,,,,,,,,,,,,,,,
"All sectors",,"ELEC.PRICE.US-ALL.A",,,,,,,,,,,,,,,,,,,,,,
"Industrial",,"ELEC.PRICE.US-IND.A",,,,,,,,,,,,,,,,,,,,,,
"Industrial : Oklahoma","cents per kilowatthour","ELEC.PRICE.OK-IND.A",4.29,3.81,4.59,4.76,5.11,5.46,5.41,5.90,4.82,5.35,5.46,5.09,5.49,5.85,5.35,5.02,5.42,5.34,5.07,4.61,5.50,6.95
"Industrial : Texas","cents per kilowatthour","ELEC.PRICE.TX-IND.A",5.27,4.66,5.27,5.87,7.14,7.82,7.79,8.79,6.74,6.44,6.24,5.57,5.81,6.16,5.59,5.33,5.35,5.39,5.45,5.07,6.12,7.21
"Industrial : Mountain",,"ELEC.PRICE.MTN-IND.A",,,,,,,,,,,,,,,,,,,,,,
"Industrial : Arizona","cents per kilowatthour","ELEC.PRICE.AZ-IND.A",5.24,5.20,5.37,5.35,5.85,5.69,6.05,6.57,6.65,6.63,6.55,6.53,6.66,6.46,6.26,6.07,6.45,6.55,6.28,6.07,6.79,7.74
"Industrial : Colorado","cents per kilowatthour","ELEC.PRICE.CO-IND.A",4.48,4.52,5.10,5.11,5.74,5.88,5.97,6.65,6.39,6.90,7.06,6.95,7.34,7.47,7.40,7.35,7.50,7.47,7.40,7.48,8.01,8.77
"Industrial : Idaho","cents per kilowatthour","ELEC.PRICE.ID-IND.A",3.71,4.34,4.16,3.82,3.91,3.61,3.87,4.48,5.17,5.15,5.10,5.48,6.09,6.40,6.60,6.55,6.66,6.47,6.08,6.23,6.39,6.72
"Industrial : Montana","cents per kilowatthour","ELEC.PRICE.MT-IND.A",6.59,3.71,4.03,4.15,4.83,5.12,5.16,5.90,5.46,5.55,5.27,5.10,5.43,5.49,5.32,5.06,5.25,5.19,5.45,5.18,6.24,7.43
"Industrial : Nevada","cents per kilowatthour","ELEC.PRICE.NV-IND.A",6.56,7.25,7.30,7.24,7.71,8.03,8.28,7.98,7.97,7.37,6.65,6.48,6.52,7.12,6.75,5.88,6.15,6.10,6.14,5.61,6.02,8.40
"Industrial : New Mexico","cents per kilowatthour","ELEC.PRICE.NM-IND.A",5.45,4.48,4.95,5.22,5.61,5.57,5.60,6.38,5.72,6.01,6.06,5.83,6.36,6.61,6.33,5.84,6.15,5.84,5.48,5.58,6.16,6.70
"Industrial : Utah","cents per kilowatthour","ELEC.PRICE.UT-IND.A",3.53,3.84,3.79,4.01,4.24,4.21,4.52,4.59,4.81,4.93,5.10,5.62,5.87,6.08,6.17,6.33,6.13,5.90,5.98,5.90,6.19,6.88
"Industrial : Wyoming","cents per kilowatthour","ELEC.PRICE.WY-IND.A",3.43,3.55,3.65,3.91,3.99,4.04,4.10,4.47,4.83,4.98,5.41,6.03,6.42,6.61,6.76,6.92,6.92,6.71,6.73,6.88,6.83,6.90
"Industrial : Pacific Contiguous",,"ELEC.PRICE.PCC-IND.A",,,,,,,,,,,,,,,,,,,,,,
"Industrial : California","cents per kilowatthour","ELEC.PRICE.CA-IND.A",9.23,9.81,9.59,9.27,9.55,10.09,9.98,10.09,10.42,9.80,10.11,10.49,11.44,12.34,12.17,11.92,12.73,13.20,13.40,14.27,14.82,17.37
"Industrial : Oregon","cents per kilowatthour","ELEC.PRICE.OR-IND.A",4.21,4.72,4.63,4.43,4.83,4.85,5.06,5.26,5.40,5.40,5.47,5.59,5.80,5.97,5.97,6.05,5.98,5.86,5.86,5.70,5.97,6.44
"Industrial : Washington","cents per kilowatthour","ELEC.PRICE.WA-IND.A",4.75,4.88,4.76,4.28,4.27,4.44,4.57,4.52,4.40,4.08,4.09,4.13,4.23,4.32,4.35,4.43,4.60,4.71,4.80,5.08,5.81,6.05
