P [kW],Q [kVA]
-4.8,14.4
-8.7,19.3
-8.4,19.6
-8.3,19.4
-8.8,19.2
-8.6,18.6
-5.4,14.6
-5.2,13.6
-4.9,13.8
-4.8,13.5
-4.5,13.3
142,286
817,808
230,513
92.1,249
122,787
-7.7,25.6
27.4,390
30.4,533
27.2,623
48,800
-2,266
141,808
7.62,394
40.9,526
31.3,509
-7.4,17.4
-7.7,18
-7.9,17.9
-7.8,17.3
-2.6,230
22.5,351
-8.2,18.7
33.2,273
-4.2,194
-8.2,17.5
-7.1,15.6
-7.4,15.3
-7.3,16.5
-7.3,17
-7.4,17.1
-7.6,17.4
-7.6,17.6
-7.8,17.9
-7.9,17.4
-7.8,16.9
-8.2,17.2
-8.2,17.3
-8.2,17.5
-8.1,17.3
-8.1,16.8
-8.1,16.6
-7.8,15.7
-8.1,15
-7.9,15.4
-8.2,15.5
-8.2,15.8
-7,15.7
-5,14.9
-5.2,14.2
-5.2,14.1
-5.3,14.2
-5.4,15.2
-4.8,14.8
-4.9,14.8
-5,15
-5,15.6
-4.8,15.1
-4.9,15.7
-5.2,15.8
-4.8,14.9
-5.2,15.6
-5.2,15.5
-5.1,15.2
-4.8,14.2
-9.1,19.9
-8.6,18.8
-8.6,18.5
-8.6,19.4
-8.9,19.4
-8.3,18.2
-8.8,18.1
-7.3,16.8
-5.1,13.1
-4.7,12.7
-4.8,13.6
-5,14.4
-4.6,14.2
-6,15.8
-8.8,20.1
-9.1,20.6
-8.7,20.8
-8.7,21.1
-9,20.6
-8.8,20.8
-7.7,18.8
-4.9,14.8
-5,14.2
-5.1,14.3
-6.3,15.4
-9.3,19.4
-9,18.8
-9.1,19.3
-9,19.9
-9.4,20.9
-7.2,17.9
-5.4,16.2
-5.4,16.5
-5.1,15.9
-9.2,22.2
-5,16.1
-5.3,15.5
-7.6,18.7
-8.9,20.8
-8.9,21.1
-9.1,21.2
-7.7,19
-4.9,15.2
-5,15.1
-6,16.4
-9.2,21.1
-9,21.3
-6,16.3
-5.2,15.3
-5.5,15
-9.1,21.9
-9.5,22.1
-9.5,22.1
-9.4,22.4
-7.9,20
-4.9,15.9
-4.9,15.9
-5.1,16
-4.8,15.8
-5,15.2
-4.5,14.6
-4.7,14.7
-4.9,14.6
-7.4,18.5
-8.7,21.3
-6.6,18.2
-5.1,15.5
-5.2,16.2
-5.5,15.8
-4.9,15.1
-5.8,16.6
-9.1,20.7
-9.3,21.1
-6.2,16
-4.6,13.1
-5.3,14
-5.5,15.1
-5.1,14.2
-5.4,13.9
-9,19.6
-8.7,19.2
-9.1,20
-8.9,19.8
-6.3,17.3
-4.8,14.4
-4.8,15
-5,15.1
-5,14.9
-5.2,16
-5.2,15.8
-5.2,16
-5.1,15.6
-5.6,15.5
-5.2,15.6
-9,19.9
-6.5,16.8
-5.4,14
-5,13.1
-5.2,13.5
-8.8,18.3
-7.7,17.5
-5.1,13.9
-4.8,13.4
-5,13.2
-5.1,14.4
-5.2,15.3
-4.8,14.2
-5.1,14.9
-5.2,15.1
-4.8,14.5
-4.8,14.6
-5,15.2
-5,15.8
-4.9,15.3
-5.2,15.8
-5,15.3
-4.9,15.2
-5,15.2
-5,15.3
-5.1,14.8
-8.1,17.8
-8.6,18.6
-7.8,18
-5.3,14.7
-5.2,14.4
-5.2,14.5
-5.1,14.1
-5,13.2
-4.8,13
-4.7,13.4
-4.9,13.1
-4.5,13.5
-4.8,15
-4.7,14.9
-4.7,14.6
-4.8,14.8
-5,15.6
-5.2,15.9
-4.9,15.1
-5.1,15.6
-6.6,17.7
-8.9,21.5
-8.6,20.7
-8.4,20.1
-8.3,19.3
-8.2,18.7
-8.3,18.8
-8.5,19.4
-8.8,19.4
-8.5,19.1
-8.8,19.4
-9.1,19.8
-6.8,17.2
-5.3,14.1
-5.2,14.3
-5.1,13.9
-5.8,16
-8.9,21
-9.5,21.3
-9.6,21.9
-9.1,21.4
-9.4,20.9
-9.6,21.3
-9.2,21.6
-9.7,21.6
-9.9,21.8
-9.7,23.8
-9.8,23.2
-9.7,22.3
-9.7,21.3
-9.2,21.8
-9.4,21.8
-8.7,21.6
-5,15.3
-5.1,16.2
-5.3,16.3
-5.2,15.5
-7.1,18.4
-9.4,22
-8.6,22.3
-8.8,22.2
-8.7,21
-8.5,21.6
-8.6,21.9
-8.5,22.5
-7.2,20.1
-5.2,16.5
-5.4,16.3
-4.9,15.8
-5.5,16.6
-7.5,19.7
-9.5,22.3
-9,21.7
-9.1,20.4
-8.9,21.3
-9,22.2
-9,21.6
-7,19.5
-5.1,16
-5.3,16.9
-5.2,17.9
-5.2,17
-5,16.5
-5.1,16.5
-4.9,16.2
-4.8,15.5
-5.3,15.4
-5,15.3
-5,14.8
-5.6,15.8
-9.2,21.8
-9.1,22.7
-9.2,23.2
-5.9,18.3
-5,16.6
-4.8,15.8
-5.3,16.4
-5,16.8
-5.4,16.5
-5.5,16.5
-5.4,15.5
-5.2,15
-5.1,14.8
-5.3,15.2
-5,14.9
-4.8,14.6
-5.1,15.1
-4.7,14.9
-5.1,14.5
-4.6,14
-5,15.2
-4.9,15.7
-4.8,15.5
-4.9,15.9
-5.1,16.5
-5.1,16.4
-5.1,16.2
-5.2,16.5
-5.2,16.5
-4.9,15.3
-5,14.9
-5.3,14.3
-5.3,15
-5.3,14.8
-5.2,15.2
-5.2,15.5
-5,14.7
-5.1,15.1
-5.2,15
-5,14.7
-4.6,14.5
-5.2,15.4
-4.8,15.1
-4.6,14.5
-4.8,14.9
-4.9,15.4
-4.9,15.6
-4.8,15.4
-5,16.1
-4.9,15.6
-4.8,14.9
-5,15.5
-5,15.5
-4.9,15.1
-4.8,13.9
-5.1,14.2
-5.2,14.6
-5,13.6
-5,13.6
-5.1,13.6
-4.7,13.5
-4.8,13.3
-4.7,13.3
-4.6,13.5
-4.5,13.6
-4.9,15.1
-4.8,15.6
-4.7,15.2
-4.7,15.1
-4.9,15.5
-4.8,15.4
-4.7,15
-5,16.2
-5.1,15.6
-5.1,15.4
-4.9,15.1
-5,15.2
-4.9,14.8
-4.6,13.4
-5.2,13.5
-5.2,14.1
-4.8,13.5
-5,13.2
-5.1,13.6
-4.8,13.3
-4.8,12.9
-5,13.6
-4.6,13.3
-4.9,13.5
-4.7,14.3
-4.7,15.1
-4.7,15
-4.7,14.6
-4.9,15.6
-4.9,15.5
-5,15.5
-4.9,15.2
-5.1,15.9
-5.1,16.3
-4.9,15.1
-6.2,17.1
-9,20.5
-8.8,19.5
-8.4,18.4
-8.8,19
-8.5,19.3
-6.2,15.7
-5,13.5
-5.2,14
-5.4,14.5
-5.2,13.6
-4.8,12.6
-5.3,13.7
-4.8,14.6
-5.1,14.6
-5,15.1
-5,15
-4.8,15
-4.9,14.9
-7.3,18.9
-9.1,21.9
-9,22.1
-7.7,19.7
-4.9,15.2
-4.8,14.3
-5.2,14.3
-4.9,13.9
-5,13.4
-5.1,13.7
-5.5,14.5
-5.4,15.5
-5.1,14.3
-4.9,12.9
-4.7,12.4
-4.7,13.8
-4.9,13.5
-4.7,13.9
-4.6,15
-4.7,14.8
-4.7,14.9
-4.9,15.1
-4.9,15.2
-4.8,15.4
-5,15.5
-5,15.5
-5.2,14.6
-5.1,15.2
-5,15.1
-5,14.9
-5,14.6
-5.4,14.8
-6.7,17.1
-7.5,18
-5.2,14.5
-5.2,14.7
-4.8,14.6
-5.2,15.3
-5.1,15.5
-5.1,16
-5,15.1
-5.1,15.3
-4.9,15.1
-4.6,14.6
-4.8,15.2
-4.9,15.4
-4.9,15.8
-4.8,15.7
-5.3,16.7
-5.2,16.6
-8.5,20.6
-9.1,21.7
-6.4,17.8
-5.1,15.7
-6.5,18.4
-9.2,21.9
-9.1,21.4
-9.1,20.9
-8.9,22
-9.6,22.7
-9.3,23.1
-8.9,22.9
-9.3,22.8
-9,22.5
-8.9,22.2
-9.4,22.4
-8,20.7
-5.4,15.3
-4.9,13.9
-5.2,14.4
-5.5,15
-5.9,16.4
-9.2,21.7
-9.6,22.2
-8.9,22.2
-9.3,22.5
-9.9,22.6
-9.6,22.2
-9.1,21.6
-9.7,20.9
-9.9,21.5
-9.2,21.6
-9.3,21
-9.1,20.5
-9.1,20.6
-9,20.6
-9.1,20.9
-9.3,21.2
-8.7,20.3
-6,16
-5.3,14.7
-5,14.5
-5.6,14.7
-4.9,14.3
-5.1,13.9
-8.7,19.5
-8.8,19.8
-9.3,20.3
-9.1,20.2
-9.1,20
-9.5,20.1
-9.3,19.9
-8,18
-5.8,14.2
-5.5,13
-5.7,14.2
-9,19.1
-8.9,19.1
-8.4,18.7
-8.7,18.6
-8.6,20
-5.3,14.1
-4.8,13.8
-5,14
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-9.2,20.1
-7.3,17.5
-5.1,15.5
-5.6,15.5
-4.8,14
-4.9,14.2
-4.9,14.4
-8.1,18.6
-8.9,20.4
-6.1,17.7
-4.7,15
-5,15.2
-5.7,16.2
-8.8,21.5
-8.7,21.7
-8.6,21.9
-8.6,21.9
-6.7,18.8
-4.9,16.1
-5,15.3
-4.8,14.5
-4.7,14.1
-9.1,19.4
-8.5,19.7
-11,24.3
,
,
,
,
,
-10,17.5
-9.5,20
-9,19.6
-8.9,19.2
-9.2,19.6
-8.7,19.8
-9.1,19.8
-8.8,20.2
-9.2,20.9
-9.2,20.5
-9.4,20.9
-9.7,21.3
-9.4,21.2
-10,21.2
-9.5,20.8
-9.8,20.2
-7.9,17.1
-5.8,13.7
-5.4,13.6
-5.5,14.4
13.3,129
-4.9,13.8
158,403
-6.4,14.1
-5.4,14.3
-5.5,14
-5.6,13.8
-5.3,14.5
-4.9,14.7
-4.6,14.1
-4.6,13.1
-4.8,13.7
-4.8,13.9
-4.9,14.3
-4.8,14.1
-5.2,14.9
-5.5,15.2
-5.1,14.8
-5.7,15.3
-5.3,15.2
-5.3,14.3
-9,19
-9.3,19.7
-8.7,19.1
-5.1,13.2
-4.7,13.3
-5.1,14.2
-4.6,14
-4.8,14.7
-4.7,14.8
-4.7,14.4
-5.1,14.9
-4.9,14.8
-4.7,14.4
-4.6,13.6
-5.3,14.5
-5.2,15
-5,14.7
-5.1,15.3
-6.6,16.5
-8,19
-5.3,15.2
-5,14.9
-5.3,15.6
-8.7,20.1
-9.2,21.1
-9.1,21.3
-9.4,21.1
-9.1,20.7
-7.9,18.6
-5.6,14.8
-4.8,14.4
-5.1,14
-4.6,14
-5.3,14.4
-4.8,13.6
-5,14.5
-4.9,14.1
-5,14.1
-4.8,14
-5.4,14.9
-5.1,15.1
-8,19.1
-9.1,21.2
-9,21
-7.2,18.1
-5.2,15.2
-5.1,14.7
-5.2,13.5
-4.9,13.3
-5.4,13.5
-5.1,13.1
-5,12.9
-5.3,13.7
-4.8,13.2
-5.1,12.7
-4.7,13.7
-5.2,13.3
-4.7,13.4
-5.2,14.1
-4.8,14.8
-4.8,14.4
-4.7,13.8
-5,15
-5.1,15.3
-5.1,15.3
-5.2,15.5
-5,15
-5.1,15
-8,18.6
-8.9,20.2
-7.5,18
-5.1,13.8
-5.2,12.9
-5.3,13.3
-5.2,15.3
-5.2,13.8
-4.8,12.9
-5.1,12.6
-4.5,11.3
-4.9,11.2
-4.6,11.8
-5.1,11.5
-4.5,11.8
-4.6,12
-4.7,12.5
-4.7,12.4
-4.6,12.5
-4.7,12.5
-4.9,13
-4.9,13
-4.7,12.7
-5.3,12.9
-5,12.6
-4.7,12
-5.1,11.9
-5,12
-5.1,11.4
-4.6,10.9
-6.6,13.4
-8.3,16
-8.4,15.9
-7.6,15.3
-4.4,10.8
-4.7,11.9
-4.8,11.5
-4.4,11.1
-4.8,11.9
-4.8,13
-4.6,12.8
-4.5,12.2
-4.8,13.2
-4.9,13.5
-4.8,13.4
-4.9,14.2
-5.3,16.3
-5.4,16.1
-4.9,15.4
-5.1,15.9
-5.4,15.3
-4.9,14.7
-4.9,14.1
-5.1,13.8
-5.1,13.8
-4.7,13.8
-4.9,13.7
-4.6,14.3
-4.4,11.8
-4.9,12.3
-4.7,12.4
-4.8,12.4
-4.3,11.9
-4.5,12.6
-4.6,12.6
-4.6,12.2
-6,14.6
-8.4,18.3
-8.2,18.1
-4.6,13
-4.7,13.1
-4.8,13.2
-4.7,12.7
-4.9,13.1
-4.7,12.8
-5.1,12.9
-7.3,16.2
-8.4,17.2
-8.5,17.4
-8,16.6
-8.4,16.3
-5.1,13.1
-5.1,11.9
-4.4,11.6
-5.1,12.4
-4.6,12.3
-5.1,12.5
-4.6,12.9
-4.8,12.8
-4.8,13.2
-4.7,12.8
-4.9,13.4
-5.9,14.5
-8.7,18.7
-8.7,18.4
-8.7,18.6
-8.9,18.6
-6,14.9
-4.7,12.6
-4.8,12.6
-5,11.4
-4.9,12.3
-5.1,12.2
-5,12.4
-5,12.3
-4.8,11.2
-4.9,12.8
-5.3,13
-4.8,12.9
-5.1,12.6
-4.7,12.5
-4.9,12.1
-4.5,11.9
-4.7,12.7
-4.8,13
-4.9,12.8
-4.7,12.6
-4.8,13.4
-5.1,13.6
-7.3,16.5
-8.5,18.6
-8.6,18.4
-5.6,14.3
-5.2,12.8
-4.8,13
-5.3,13.5
-5.2,13.5
-4.8,12.8
-4.9,12.8
-4.7,12.6
-4.8,12.4
-4.8,12.7
-4.9,12.6
-4.8,12.8
-4.6,12.7
-4.7,12.5
-4.7,12.4
-4.6,12.1
-4.7,12.4
-5.1,13.1
-4.9,13.4
-4.6,12.6
-4.7,13
-4.9,13.3
-4.8,13
-4.9,12.8
-5,12.8
-4.7,12.1
-4.7,11
-4.8,11.7
-5,11.8
-4.6,11.4
-4.8,11.3
-4.7,11.6
-4.6,11.4
-4.2,11.3
-4.6,13.3
-4.6,13
-4.6,13.6
-4.7,14.6
-4.8,14.8
-5,15.1
-5.1,14.8
-5,15.5
-5,15.5
-4.9,15.4
-4.9,15.3
-5,15.5
-5,15.5
-5,15
-5.1,15.4
-5.3,14.7
-4.8,13.4
-4.8,13.3
-5.1,13.9
-5,14.5
-4.9,13.9
-5,14.7
-5.2,15
-5,14.5
-4.8,14.3
-5.1,14.8
-4.9,15.3
-4.9,16.1
-5,16
-5,15.6
-4.9,15.3
-5.2,16.1
-5.3,16.5
-5.3,16.3
-5,15.7
-5.3,16.6
-5.4,16.7
-5.2,16.2
-5.2,16
-5.3,15.6
-5.7,14.4
-8,17.2
-5.4,13
-5.9,14.9
5.41,303
0.78,249
0.864,169
-1.8,154
0.617,178
0.0837,114
43.6,584
24.5,698
-9,180
-8.4,18.6
-7.9,18.3
-7.5,18
-8.1,18.3
-6.8,333
-9.5,19.9
-7.8,18.3
-9.5,23.4
-9.5,22.6
-8.4,19.2
-8,18
-8.4,16.8
-7.4,52.9
279,341
155,611
-0.74,290
-6,120
-8.6,17.8
-7.9,17.2
219,739
134,774
343,779
524,716
1040,812
1070,826
1240,835
521,786
122,540
26.4,351
301,415
362,487
603,794
677,798
386,785
514,790
375,785
5.88,235
33,768
-1.3,189
-4.6,211
-8.8,19.3
-7.6,16.9
-6.5,27.4
5.75,135
7.3,195
-0.57,296
118,467
667,792
660,809
840,820
460,792
244,781
58.9,515
13.6,553
52.3,661
8.45,460
-7.6,17.9
-7.4,17.7
-7.3,17.1
-7.3,16.8
-8.4,20
-7.4,16.7
-8.1,17.6
-5.3,45.8
61.5,592
-4.3,148
76.9,340
375,805
187,801
266,802
319,781
115,563
60.2,397
48.1,334
424,785
1080,822
1260,837
343,507
310,723
195,777
-2.3,182
-8.2,19
-8,20.3
-7.9,20.2
-7.6,19.7
-7.9,20.1
-7.9,18.7
-7.9,18.2
-4.5,91
-7.9,25.1
-7.6,18.1
26.3,400
-7.5,122
9.76,317
36.2,775
63.1,777
675,813
64.8,774
-7.4,18.4
-8,19.4
201,801
-8.5,48.2
5.04,248
-9.2,20.1
-7.4,17.8
-7.6,17.9
22.9,461
97.5,662
92.9,620
480,504
1080,821
348,488
901,765
1170,838
1260,850
1400,861
1380,858
1310,844
1360,852
498,482
341,684
34.8,288
2.82,259
-9.2,22.2
-8.3,188
-3.8,169
-7.9,19.5
11.1,206
-8.2,19.8
-7.7,17.9
-7.9,17.6
-7.7,16.6
-9,19.2
25.4,552
16,317
0.41,140
83.7,454
49.9,477
16.7,261
51.3,405
138,645
220,744
44.9,561
58.2,635
-7.5,17.7
72.9,463
29.7,232
251,798
182,732
-7.1,17
-7.8,19.3
-7.3,17.6
-0.45,287
-8.1,165
-7.2,16
-7.2,15.3
-7.5,15.6
-8.1,42.7
-8,16.8
-7.9,17.6
-7.9,57.8
-5,160
-7.9,63
28,456
50.1,686
11.4,716
-8.3,130
-7.7,19.1
-7.3,17.2
-7.2,17.7
31.3,501
55.5,396
109,685
-4.3,288
-9.4,101
-8,19.9
109,360
717,709
-7.4,85.2
193,612
395,418
37.5,201
64.4,294
618,767
129,614
137,600
14.9,215
1090,823
1130,753
857,552
-7.6,20.4
-7.9,20.7
-7.7,19.6
-7.4,18.5
-7.8,19.4
-7.8,19.5
-7.9,20
-7.9,19.9
-8,19.5
-8,19.1
-7.7,18.5
-7.7,17.9
-7.7,16.9
-8.3,18
-8,16.6
-1.2,237
73.9,779
25.3,462
11.4,323
3.96,150
-3.7,134
-6.3,44.5
-7.6,42.2
30.4,389
151,783
87.8,741
48.7,771
7.08,518
-2.9,76.3
236,811
176,809
-1.2,208
29.7,493
-8.7,20.3
25,361
-8.5,124
42.2,665
82.6,698
328,810
193,642
92.2,377
22.9,322
16.3,252
12.4,267
84.2,447
280,769
370,805
218,797
201,804
223,800
128,804
6.93,437
-7.5,17.7
-7.4,18
-7.4,143
-3.4,361
13.8,528
-10,397
48.6,279
528,826
761,833
535,816
305,803
226,799
57,576
50.6,721
-0.94,308
14.6,305
15.5,314
0.17,131
-8.1,81.8
-5.4,107
-7.4,17.1
-7.4,16.7
-7.6,17.1
47.3,142
144,793
355,818
453,824
603,825
520,827
144,803
119,803
58.1,799
40.5,791
5.53,574
-7.5,15.8
-7.3,15.4
-8.1,18.4
-7.2,13.7
-7.7,15.8
-8.1,16.7
-0.76,41.6
634,793
408,777
129,777
474,478
492,746
-8.3,20.6
3.73,142
-10,26.5
-8.6,20.5
-7.7,18.2
-7.6,17.9
-7.9,18.4
-7.8,18
-7.7,17.7
-8.2,18.4
-9.5,22.1
-7.8,15.7
-7.4,15.2
-7.9,16.8
-8.3,17.1
-8.4,17.6
-8.1,16.9
-6.9,41.1
-6.3,50.5
-8.1,17.9
-8.4,18.6
-8.5,19.3
-8.6,20
-8,18.7
-7.9,18.5
-8.6,21.1
-8.2,19.8
-8.3,19.9
-8.4,20.4
-8.4,20.1
-8.7,20.1
-8.6,20.9
-8.8,21.4
-8.4,19.6
-8.5,18
-8.4,17
-8.2,17.7
-8.5,16.9
-8.5,16
-8.4,16.7
-8.4,18.7
-8.5,19.2
-8,17.6
-8.1,17.4
-3.9,269
-2.9,105
-7.6,18.4
-7.3,18.7
-7.5,19
-8,20.3
-7.7,19.7
-7.9,19.7
-7.7,19.7
-7.6,20.2
-8,21.4
-7.8,20.8
-8.6,22
-7.4,19
-7.3,17.5
-8,17.8
-8.5,18.8
-9.4,22
-8,18.2
-4.8,39.2
101,540
50.3,674
561,802
71.4,526
15.2,357
-8.2,17.2
-6.9,16.4
-7.2,18.8
-7.5,18.9
51.2,259
134,790
205,796
76.6,723
-7.7,359
207,743
120,791
-3.6,224
-7.4,18
-7.7,18.2
-7.2,16.6
-7.5,16.2
-7.3,14.2
-7.6,14.6
-7.6,14.9
-8.1,15.8
-8.6,18.4
-7.9,15.5
49.1,730
143,777
386,782
466,794
190,779
6.64,233
179,780
90.3,783
2.69,323
124,778
101,779
129,779
101,706
9.57,218
66.2,790
0.0181,243
-5.7,198
14.9,397
156,794
330,797
312,791
203,787
92.9,701
103,581
154,612
147,778
88.5,576
20.4,337
81.6,689
78.7,781
6.4,241
-7.3,16
-7.1,15.3
-7,15.5
-7.1,15.7
-7.1,15.4
-7.2,15.4
35.6,513
-6.4,806
-4.4,735
7.54,709
-5.8,167
-7.4,16.5
-7.6,16.5
-7.7,16.3
-7.6,15.6
-7.9,15.9
-4,147
2.59,277
-9.5,22.6
-7.5,17.1
-7.2,15.6
-7,15
-7.2,15.1
-7.2,15.3
-7.7,16.7
25.7,356
-9.9,226
-7.3,15.7
-7.4,15.4
4.14,154
39.6,798
-8.5,72.9
-6.9,14.3
-7.4,15.6
-7.2,15.3
-7.9,15.8
-8.3,17.3
-8,16
-7.6,15.1
-7.2,14.6
-7,13.3
-7.4,15
-5.2,67.5
-4.9,130
29.1,762
245,720
212,771
49.8,777
-2.4,245
-8.2,116
-7.7,19.2
-7.9,19.6
-8.2,20.1
8.98,317
1.01,359
-7.7,19.8
-7.8,18.5
5.05,219
-7.2,321
-7.2,18
-6.4,78.8
36.9,342
112,668
90.6,767
135,766
90.4,766
51.3,365
804,743
1170,809
938,801
1330,830
1240,825
266,454
1260,831
223,549
674,703
823,808
249,614
81.2,320
119,418
61.6,628
54.8,783
92.6,784
489,795
776,806
1210,835
1120,776
1330,834
1300,823
1340,834
935,806
403,776
535,464
1340,831
1400,854
1250,805
628,734
68.9,577
12.7,208
-8.3,20.3
3.07,92
167,804
389,805
366,804
374,793
458,801
651,807
428,793
397,789
135,723
31.8,364
21.4,420
74.4,374
30.8,465
9.35,364
23.6,479
4.07,170
-7.5,19.1
-7.4,18.4
-7.6,18.6
-8.1,19.7
-8.2,20.4
-7.9,19.4
-7.8,19.7
31.5,258
-9.7,25.5
-7.8,19.8
-7.9,19.6
-8.5,20.5
-8.7,19.3
-8.3,17.8
-4.3,167
24.3,362
73.9,548
67.4,637
125,560
248,655
188,662
95.6,361
193,769
-7.2,28.3
-7.2,17.7
-7.5,18.1
-7.8,18.7
-8.2,19.1
-8.2,19.8
-7.7,18.6
-7.6,18.5
-7.9,19.4
-8,19.7
-7.6,18.7
-7.7,18.9
-7.6,18.4
-7.9,18.8
-8.1,17.9
-8.3,17.8
-8,17.4
-8.1,17.4
-7.7,17.7
-8,19
15.5,210
171,748
145,677
171,722
147,300
-7.8,17.8
-7.8,17.4
-7.5,17.1
-7.6,18.1
-7.8,18.9
-7.9,18.8
-7.8,18.8
-7.6,30.5
-8.2,19.6
-8.9,21.9
-7.6,17.9
-7.7,18.1
-8.9,21.6
-8.3,18.7
-6.2,35.6
14.8,548
-9.3,91.7
1.18,105
265,654
622,804
140,662
171,679
59.3,426
-7.1,17.7
-7.2,17.5
-7.5,17.9
-7.6,18
-7.6,17.5
-7.7,17.6
-7.7,17.6
-8.2,18.4
-7.8,18.3
4.21,315
-6.8,77.7
14.3,312
54.1,623
-8.4,53.3
-7.8,18.6
-8.2,18.8
8.07,257
12.2,243
-0.27,148
6.18,333
13.8,271
-4.8,97.3
-7.5,28.8
24.2,400
-8.8,19.4
-7.5,17.5
-7.5,17.3
-7.5,17.5
-7.9,18.7
-8,19
-8,18.9
-7.8,18.6
-8.1,18.8
-7.8,18.2
-8.1,18
-8,18
-8,17.9
-9,19.8
-8.4,17.2
-8.2,16.5
-8.2,16.4
-8.4,16.9
-8.2,16.8
-4.9,106
39.2,516
-1.4,159
-7.5,16.7
-7.3,16.7
-7.5,18.3
-7.1,17.2
-7.5,17.7
-7.5,17.5
-7.9,18.7
-8,18.6
-7.9,18.6
-8.3,18.7
50.6,328
-8.3,18.6
-7.7,18.3
-8.4,20.5
-7.7,18
-8.6,19.1
-8.7,18.6
-7.8,15.6
27.8,462
61.5,699
52.6,637
5.52,362
18.1,327
12.1,323
-8.7,18.4
38.4,384
-4.9,313
-9.1,33.4
-7.4,19.1
-7.3,18.9
-7.3,18.5
-7.8,19.6
-7.6,19.1
-7.7,19.1
-8,19.2
-7.9,19.2
63.5,455
-9.4,20.5
-7.6,18.2
-7.6,17.3
-7.6,17.5
-8,16.2
-7.2,14.6
-7.5,14
-7.7,14.5
-6.9,46.1
-8.1,17
-8,16.7
-7.9,15.9
-7.4,16.3
-7.7,16.4
-7.2,16.1
-7.1,15.1
-7.2,15
-7.3,15.2
-8.9,18.6
-7.7,15.8
4.18,151
-3.2,248
-8.7,249
-8.9,17
-7.4,15.4
-7.7,16.1
-8.3,16.5
-7.5,14.5
-7.8,14.2
-7.9,14.5
-6.2,39.8
-7.2,14.1
-7.3,14.4
-3.7,126
-7,14.3
102,449
655,593
68.9,173
-6.7,14.4
306,498
-7.1,153
-7.1,15.6
351,259
1050,826
1040,819
604,794
33.9,163
259,498
64.8,553
14.4,233
67.9,557
13.4,429
-7.6,14.9
13.2,301
13.4,299
7.05,277
59.1,547
-5.7,96.7
-6.9,14.8
-8.2,18.5
-6.8,14.4
1.77,150
-7.2,15.5
-7.2,15.3
-7,14.9
-7.6,17
-7.4,171
-7.2,16.6
-7.3,19.1
-7.5,19.3
-4.2,97.6
-7.7,19.2
8.29,308
-9.6,22.1
-9.8,25.9
-8.6,20.6
-8.2,17.7
-7.5,14.9
-7.8,18.6
-0.012,297
11.6,265
264,773
582,785
641,606
84.1,428
-8,20.8
-7.2,18.4
-7.2,18
-7.7,19.2
0.776,274
-8.7,22.2
-7.7,19.8
-7.2,18
15.5,313
-0.13,87.5
25.5,280
-8.6,19.9
69.8,363
-8.9,47
-8.1,19.5
-7.6,16.8
-6.7,13.3
-6.8,14
-7,14.5
-6.8,14
15.1,35.6
84.3,188
175,380
-7.6,91.4
-6.7,14.5
-6.6,14
-7,14.8
-7.2,15.2
146,196
140,187
-7.3,15.2
-7.1,15.2
-6.8,14.9
89,187
114,196
194,326
282,333
179,321
-8.1,16.4
-7,13.3
-4.8,11.4
-5.4,11.8
-6.7,13.8
-5.4,30
-1.3,93.8
-6.9,14.7
-7.2,15.9
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4.68,132
-6.8,13.7
-0.89,34.7
48.4,326
51.6,347
279,407
54.6,338
-8.4,18.2
6.63,199
20.5,415
102,367
92.7,368
259,370
52.1,343
129,221
131,349
-7.7,16.8
-8.1,18
-8.3,164
-7,14.7
-3.3,202
-6.4,161
-5.3,26.6
29.6,424
218,630
825,643
576,504
1160,759
40,161
15.3,45.1
345,380
137,190
17.7,353
91.5,368
77,368
165,369
3.61,166
16.1,283
14.8,339
-7.7,16.7
-7.6,16.4
-8.3,18.6
-7.2,15.7
-7,14.2
-6.8,14
-6.8,14.2
-7.1,15.2
-7,15.1
-7.4,16.1
-7.2,15.4
-7.1,14.9
-4.7,173
-1.3,81.8
65.9,353
248,363
214,347
205,227
613,565
76.2,91.6
264,370
119,575
144,698
-0.21,304
132,362
48,327
-2.1,157
34.7,332
-4.5,37.6
1.88,156
185,227
374,584
195,427
91.5,337
112,196
580,518
1390,838
792,573
56.4,159
-8.4,41.3
-6.9,58.8
4.33,325
-7.8,111
-7.7,20.6
-8,21.3
-8,21.5
-7.6,20.5
-7.8,20.6
-8.7,23.1
-8.6,22.8
-9.4,25
-8,20.6
-8.4,20.7
-8.7,20.8
-8.4,20
-3.1,131
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-7,78.6
38.2,220
11.2,327
19.3,219
23,506
70.1,349
273,499
106,195
235,374
442,536
,
,
,
,
,
,
,
,
,
,
,
,
-8.1,20.3
-8.7,21.3
-7.8,19.6
-8.2,19.9
-7.8,17.6
170,226
131,199
306,379
744,557
136,315
273,773
,
,
,
,
,
,
,
,
,
,
,
,
,
-8.7,21.1
-8.4,20.6
8.48,40.9
54.6,370
78.9,367
78.2,390
225,494
175,373
139,346
85.6,342
33.6,460
-8,20.6
-8.6,22.5
,
,
,
,
,
,
,
,
,
,
-5.3,158
-7.9,19.5
3.67,184
28.5,325
12,15.4
44.4,13.8
6.47,16.7
23.7,16
-7.6,17.7
1.47,16.6
-7.6,18.7
