P [kW],Q [kVA]
-0.000004,0.000000971
0.00000321,0.00000126
-0.00000055,0.000000425
0.00000105,-0.00000043
0.0000059,-0.0000018
-0.0000014,0.000000728
-0.0000015,-0.00000072
0.00000343,-0.00000025
0.00000613,-0.00000089
-0.000006,-0.000000074
-0.0000013,-0.000001
0.0000448,0.00000304
-0.00000087,0.00000209
-0.0000052,0.00000162
43.8,-2.1
180,-6.3
78.6,-3.5
39.5,-3.5
21.4,-3.8
-0.21,-3.7
-4.1,-3.4
-4.4,-3.2
-4.4,-2.9
-4.3,-2.7
-4.3,-2.6
-4.4,-2.8
-4.4,-3.1
-4.5,-3.2
-4.5,-3.2
-4.5,-3.3
-4.6,-3.5
-4.6,-3.5
-4.6,-3.6
-4.6,-3.5
-4.6,-3.4
-4.5,-3.2
-4.5,-3.1
-4.5,-3
-4.4,-3.2
2.59,-3.5
205,-7.1
203,-6.3
257,-8.9
227,-6.6
172,-5.9
106,-4.6
31,-3.6
-2.1,-3.4
-4.4,-2.9
-4.4,-2.9
-4.4,-2.9
-4.4,-3.1
-4.5,-3.2
-4.5,-3.4
-4.5,-3.5
-4.5,-3.5
-4.5,-3.6
-4.6,-3.7
-4.5,-3.5
-4.5,-3.4
-4.4,-3.3
43.7,-3.8
184,-6.4
295,-10
359,-13
391,-13
395,-13
370,-13
318,-10
108,-4.9
23.3,-4.2
-3.1,-3.9
-4.4,-3.3
-4.4,-3.3
-4.4,-3.3
-4.5,-3.5
-4.6,-3.8
-4.6,-3.9
-4.6,-3.9
-4.6,-3.9
-4.6,-3.9
-4.6,-3.9
-4.5,-3.7
-4.4,-3.4
-4.3,-3
44.3,-3.5
180,-6.1
283,-9
354,-12
383,-14
380,-13
277,-10
48.4,-3.7
103,-4.3
72.4,-4
1.23,-0.37
0.0000188,-0.0000013
0.00000245,-0.000000076
0.0000167,0.00000231
0.00000496,-0.00000035
0.00000554,0.000001
0.0000205,-0.00000041
0.0000257,0.00000213
0.00000148,-0.0000011
0.0000244,-0.0000009
-0.0000084,-0.0000021
-0.0000065,0.00000133
0.00000781,-0.00000093
0.00000151,-0.000000047
-0.00000013,-0.0000021
-0.000015,-0.0000005
-0.000004,-0.00000076
0.000000788,0.00000146
-0.000005,-0.000001
175,-10
350,-19
330,-18
284,-17
475,-25
44.1,-2.4
0.0000211,0.00000129
0.00000784,0.000000471
0.00000463,0.000000824
0.0000145,0.000000117
0.0000132,0.00000134
0.0000296,0.000000382
0.00000836,0.000000429
0.000000911,0.00000195
0.000015,0.000000189
0.0000123,0.0000022
0.00000833,0.00000157
0.0000087,0.00000148
0.0000108,0.00000121
27.4,29.2
84.2,41.7
479,-27
121,-8.1
87.1,-5.4
23.9,-3.7
29.7,-3.3
-0.93,-3.3
-4.1,-3
-4.4,-3
-4.4,-2.9
-4.4,-3
-4.4,-2.9
-4.4,-3
-4.4,-3
-4.5,-3.2
-4.5,-3.3
-4.6,-3.5
-4.6,-3.5
-4.6,-3.5
-4.6,-3.4
-4.5,-3.3
-4.5,-3.1
-4.5,-2.9
-4.4,-2.8
-2.9,-3.2
1.48,-3.5
31.4,-3.7
162,-5.4
274,-8.6
306,-11
282,-8.8
209,-6.3
90.6,-3.9
-0.57,-3.5
-4.4,-3.1
-4.4,-3.1
-4.4,-3.2
-4.5,-3.3
-4.5,-3.3
-4.5,-3.4
-4.5,-3.5
-4.5,-3.5
-4.5,-3.5
-4.5,-3.5
-4.5,-3.3
-4.4,-3.1
-4.1,-2.8
52.4,-3.7
184,-6.7
293,-11
355,-13
397,-14
404,-14
381,-13
326,-11
239,-6.9
42,-1.6
0.0000169,0.00000108
0.0000144,0.00000173
0.00000354,0.00000077
0.00000566,0.000000958
0.00000361,0.00000131
0.00000866,0.0000019
0.00000975,0.000000213
-0.000011,0.0000019
-0.0000079,-0.0000016
-0.00000069,-0.0000007
0.000000217,-0.00000096
0.0000163,0.000000448
0.00000935,0.0000038
-0.0000026,-0.00000063
-0.00082,-0.00047
120,-8.8
109,-6.8
54.6,-3.7
203,-7.2
133,-7.5
200,-11
249,-45
161,-9.4
97.3,-6.4
15.1,-1.1
0.00000715,0.00000107
0.000000504,-0.00000096
0.00000259,0.000000622
-0.0000025,0.000000847
-0.0000012,0.00000114
0.00000796,3.74E-08
-0.0000012,-9.3E-10
0.000000181,0.00000146
-0.0000028,-0.00000075
-0.00000075,-0.0000038
-0.00000099,0.00000209
-0.0000032,-0.00000077
0.00000013,-0.00000094
-0.0000034,0.00000135
-0.0000083,0.00000103
-0.0000096,-0.0000013
-0.0000047,-0.00000034
-0.000019,-0.0000011
-0.0000051,-0.0000012
-0.000004,-0.0000019
0.00000135,-0.00000065
0.00000279,5.77E-08
0.0000105,0.00000521
0.0000248,0.00000293
0.00000502,-0.00000068
0.00000655,0.00000357
0.00000162,0.00000174
0.00000691,-0.00000033
0.0000126,-0.0000011
0.00000986,0.00000184
0.00000102,-0.0000016
-0.0000041,0.000000421
0.0000102,0.00000318
-0.0000079,-0.00000016
-0.0000083,6.52E-08
-0.0000034,-0.0000016
-0.0000018,-0.0000015
6.08,-1.4
169,-11
71.2,-4.6
410,-75
300,-18
33.7,-2.3
0.00000493,-0.0000014
0.00000806,0.00000209
0.000012,-0.00000075
0.000015,-0.00000084
0.0000153,-0.00000027
0.00000569,-0.00000027
0.00000606,0.000000962
-0.0000024,0.00000232
0.00000309,0.0000014
0.00000219,-0.00000039
0.00000604,0.00000155
-0.0000025,0.00000116
0.00000241,0.000000419
-0.0000011,0.00000114
0.00000127,-0.0000005
0.00000192,-0.00000016
-0.0000041,0.00000089
-0.000001,0.000000392
-0.0000099,-0.00000025
-3.5,-3.8
-3.6,-3.5
-0.00001,0.000000379
-0.000019,-0.0000013
-0.000017,-0.0000012
1.08,-0.98
23.5,-3.2
9.39,-3.7
-1,-3.6
-4.4,-3
-4.4,-2.8
-4.4,-2.8
-4.5,-2.9
-4.5,-3
-4.4,-2.8
-4.5,-2.9
-4.5,-3
-4.5,-3.1
-4.5,-3.1
-4.5,-3.1
-4.5,-2.9
-4.5,-2.8
-4.4,-2.6
-4.4,-2.4
-3.7,-3.6
1.71,-4.1
6.31,-4.2
8.96,-4.2
5.6,-4.1
4.93,-4.1
1.15,-4.1
-2.9,-4.1
-4.5,-3.8
-4.6,-3.3
-4.5,-3.2
-4.6,-3.3
-4.5,-2.9
-4.5,-2.9
-4.5,-3
-4.5,-3.1
-4.5,-3
-4.4,-2.8
-4.5,-2.8
-4.5,-2.8
-4.5,-2.8
-4.4,-2.7
-4.4,-2.6
-4.4,-2.7
-2.6,-3.2
2.21,-3.5
6.05,-3.7
41.5,-3.7
63.1,-1.9
106,-4.8
149,-5.3
115,-4.1
51.6,-3.4
0.204,-3.4
-4.4,-2.7
-4.4,-2.8
-4.4,-2.7
-4.4,-2.7
-4.4,-2.9
-4.5,-3
-4.5,-3
-4.5,-3.1
-4.5,-3.1
-4.5,-3.1
-4.5,-2.9
-4.4,-2.8
-3.8,-2.7
37.9,-3.1
110,-4.3
131,-4.5
175,-5.6
165,-6.4
209,-7.7
304,-10
141,-4.4
0.0000338,0.000000417
0.000019,0.0000021
-1.5,-3.2
-4.3,-2.5
-4.3,-2.6
-4.4,-2.6
-4.4,-2.8
-4.4,-2.8
-4.4,-2.9
-4.5,-3
-4.5,-3
-4.5,-3.1
-4.5,-3.1
-4.5,-3.1
-4.5,-2.9
