Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
WaveWatchIII,0,Hawaii,21.76 N,157.9 W,0,-10,0,-,s,deg,s,deg,s,W/m,s,m,-,0,v1.10
wave height,wave period,Year,Month,Day,Hour,Minute,,,,,,,,,,,,,
2.62,16.195,2019,2,3,6,0,,,,,,,,,,,,,
2.57,15.73,2019,2,3,9,0,,,,,,,,,,,,,
2.51,15.42,2019,2,3,12,0,,,,,,,,,,,,,
2.435,15.17,2019,2,3,15,0,,,,,,,,,,,,,
2.35,14.8,2019,2,3,18,0,,,,,,,,,,,,,
2.26,14.54,2019,2,3,21,0,,,,,,,,,,,,,
2.18,14.39,2019,2,4,0,0,,,,,,,,,,,,,
2.11,14.16,2019,2,4,3,0,,,,,,,,,,,,,
2.045,13.84,2019,2,4,6,0,,,,,,,,,,,,,
1.99,13.625,2019,2,4,9,0,,,,,,,,,,,,,
1.965,13.49,2019,2,4,12,0,,,,,,,,,,,,,
1.96,13.35,2019,2,4,15,0,,,,,,,,,,,,,
1.96,14.55,2019,2,4,18,0,,,,,,,,,,,,,
1.96,16.665,2019,2,4,21,0,,,,,,,,,,,,,
1.96,16.28,2019,2,5,0,0,,,,,,,,,,,,,
1.955,15.78,2019,2,5,3,0,,,,,,,,,,,,,
1.935,15.41,2019,2,5,6,0,,,,,,,,,,,,,
1.925,15.06,2019,2,5,9,0,,,,,,,,,,,,,
1.905,14.635,2019,2,5,12,0,,,,,,,,,,,,,
1.885,14.38,2019,2,5,15,0,,,,,,,,,,,,,
1.88,14.08,2019,2,5,18,0,,,,,,,,,,,,,
1.89,13.745,2019,2,5,21,0,,,,,,,,,,,,,
1.925,13.55,2019,2,6,0,0,,,,,,,,,,,,,
1.985,14.54,2019,2,6,3,0,,,,,,,,,,,,,
